Name,LLoydNumber,GrossRegisterTonnage,NetRegisterTonnage,Latest VOS,Latest ETA,Name_New,MMSI,GrossRegisterTonnage_New,NetRegisterTonnage_NEW,CallSign,Flag,Length,Beam,Draught,Deadweight,YearBuilt,OldNames,Active,YearBuilt
ALPINE LIBERTY,9478690,0,0,NULL,NULL,,,,,,,,,,,,,,
ALPINE LOYALTY,9430284,0,0,NULL,NULL,,,,,,,,,,,,,,
ALPINE PENELOPE,9379301,0,0,NULL,NULL,,,,,,,,,,,,,,
ALPINE PERSEFONE,9379961,0,0,NULL,NULL,,,,,,,,,,,,,,
ALPS WIDESHINE,9567685,0,0,NULL,NULL,,,,,,,,,,,,,,
ALQADISIA,9343352,0,0,NULL,NULL,,,,,,,,,,,,,,
ALSIA SWAN,9400356,0,0,VOS0000038770,6/30/2020 17:00,,,,,,,,,,,,,,
ALTAIR LEADER,9539171,0,0,NULL,NULL,,,,,,,,,,,,,,
ALTAMAR,8416494,0,0,NULL,NULL,,,,,,,,,,,,,,
ALTIC ,7605861,0,0,NULL,NULL,,,,,,,,,,,,,,
ALVA RICKMERS,9178290,0,0,NULL,NULL,,,,,,,,,,,,,,
ALYCIA,7426241,0,0,NULL,NULL,,,,,,,,,,,,,,
ALYCIA I,9588366,0,0,NULL,NULL,,,,,,,,,,,,,,
AMADEA,8001146,0,0,NULL,NULL,,,,,,,,,,,,,,
AMALFI I,9218337,0,0,NULL,NULL,,,,,,,,,,,,,,
AMALIE,8410366,0,0,NULL,NULL,,,,,,,,,,,,,,
AMALIE SCAN,9199153,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAMI K,9615731,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAN TRADER,8906535,0,0,NULL,NULL,,,,,,,,,,,,,,
AMASIS,9148025,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAZON,9138616,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAZON BRILLIANCE,9294678,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAZON EXPLORER,9231511,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAZON GLADIATOR,9222132,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAZON I,9251028,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAZON RIVER,9330238,0,0,NULL,NULL,,,,,,,,,,,,,,
AMAZON VICTORY,9660358,0,0,VOS0000029604,10/5/2019 6:30,,,,,,,,,,,,,,
AMAZONE,9158630,0,0,NULL,NULL,,,,,,,,,,,,,,
AMBASSADOR NORRIS,9223722,0,0,NULL,NULL,,,,,,,,,,,,,,
AMBER ARROW,9277826,0,0,NULL,NULL,,,,,,,,,,,,,,
AMBRA,9434175,0,0,NULL,NULL,,,,,,,,,,,,,,
AMERICA,9285990,90645,60740,VOS0000027394,8/9/2019 21:00,,,,,,,,,,,,,,
AMERICABORG,9365659,0,0,NULL,NULL,,,,,,,,,,,,,,
AMERICAN TANKER,8132316,0,0,NULL,NULL,,,,,,,,,,,,,,
AMETHYST ACE,9397999,0,0,NULL,NULL,,,,,,,,,,,,,,
AMITY,9497517,0,0,NULL,NULL,,,,,,,,,,,,,,
AMOR,8007250,0,0,NULL,NULL,,,,,,,,,,,,,,
AMORINA ,9484895,0,0,VOS0000019875,12/25/2018 6:00,,,,,,,,,,,,,,
AMPHITRITE,9314882,0,0,NULL,NULL,,,,,,,,,,,,,,
AMSTEL TRADER,9264776,0,0,NULL,NULL,,,,,,,,,,,,,,
AMUNDSEN WIND,8207044,0,0,NULL,NULL,,,,,,,,,,,,,,
AMY C,9331505,0,0,VOS0000027083,7/28/2019 14:00,,,,,,,,,,,,,,
AMYNTOR,9515656,17023,10108,VOS0000003643,7/25/2017 17:00,,,,,,,,,,,,,,
AN BAO JIANG,8306943,0,0,NULL,NULL,,,,,,,,,,,,,,
AN DA JIANG,8720773,0,0,NULL,NULL,,,,,,,,,,,,,,
AN HAI WAN,9563108,0,0,NULL,NULL,,,,,,,,,,,,,,
ANAGEIA,8011469,0,0,NULL,NULL,,,,,,,,,,,,,,
ANAMARIA,9452256,0,0,NULL,NULL,,,,,,,,,,,,,,
ANANGEL ATLAS,8314811,0,0,NULL,NULL,,,,,,,,,,,,,,
ANARITA,7702516,0,0,NULL,NULL,,,,,,,,,,,,,,
ANASSA IOANNA,9254551,0,0,NULL,NULL,,,,,,,,,,,,,,
ANASTASIA III,7410864,0,0,NULL,NULL,,,,,,,,,,,,,,
ANATAS,8301204,0,0,NULL,NULL,,,,,,,,,,,,,,
ANATOLI,9138941,0,0,NULL,NULL,,,,,,,,,,,,,,
ANAWAN,7929671,0,0,NULL,NULL,,,,,,,,,,,,,,
ANDERMATT,9244075,0,0,NULL,NULL,,,,,,,,,,,,,,
ANDHIKA ARADHANI,8307765,0,0,NULL,NULL,,,,,,,,,,,,,,
ANDINO,9358888,0,0,NULL,NULL,,,,,,,,,,,,,,
ANDRE RICKMERS,9152789,0,0,NULL,NULL,,,,,,,,,,,,,,
ANDREA II,9106649,0,0,NULL,NULL,,,,,,,,,,,,,,
ANDREAS,9192741,0,0,NULL,NULL,,,,,,,,,,,,,,
ANDRES,9164859,0,0,NULL,NULL,,,,,,,,,,,,,,
ANDROS,8215986,0,0,NULL,NULL,,,,,,,,,,,,,,
ANGEL PERAL,6925707,0,0,NULL,NULL,,,,,,,,,,,,,,
ANGELA ,9406958,0,0,NULL,NULL,,,,,,,,,,,,,,
ANGELES B,7813327,0,0,NULL,NULL,,,,,,,,,,,,,,
ANGELINA THE GREAT N,8412065,0,0,NULL,NULL,,,,,,,,,,,,,,
ANGISTRI,9176773,0,0,NULL,NULL,,,,,,,,,,,,,,
ANGOL,9399806,32901,13452,VOS0000004239,8/14/2017 10:00,,,,,,,,,,,,,,
ANGY R ,9530955,0,0,NULL,NULL,,,,,,,,,,,,,,
ANHOUT SWAN,9401300,0,0,NULL,NULL,,,,,,,,,,,,,,
ANIEK,7727073,0,0,NULL,NULL,,,,,,,,,,,,,,
ANJA,9116187,0,0,NULL,NULL,,,,,,,,,,,,,,
ANKE,9570632,0,0,NULL,NULL,,,,,,,,,,,,,,
ANL ESPIRIT,9150195,0,0,NULL,NULL,,,,,,,,,,,,,,
ANL GEORGIA,9150200,0,0,NULL,NULL,,,,,,,,,,,,,,
ANL KURANGO,9399791,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNA G,7738278,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNA K,7818456,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNA OLDENDORFF,9084267,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNA SCHULTE,9215878,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNALISA,9213727,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNEMARIE B,8111269,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNI SELMAR,9397860,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNIE PG,9285445,0,0,NULL,NULL,,,,,,,,,,,,,,
ANNIE SIERRA,7908809,0,0,NULL,NULL,,,,,,,,,,,,,,
ANN-SOFIE SCAN,9195236,0,0,NULL,NULL,,,,,,,,,,,,,,
ANSAC KATHRYN,9310745,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTAIOS,9196383,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTALA,9242314,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTARES II,7508532,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTARES LEADER,9539169,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTEA,9250153,0,0,NULL,NULL,,,,,,,,,,,,,,
ANTHEM OF THE SEAS,9656101,0,0,NULL,NULL,,,,,,,,,,,,,,
