Name                                                                                                                                                                                                                                                           ,CountryID ,flag ,LLoydNumber ,CallSignNumber                      ,Draft                                   ,DraftMax                                ,LengthOverall                           ,BreadthOverall                          ,GrossRegisterTonnage                    ,NetRegisterTonnage                      ,Expr1                                                                                                                            ,Description
CAPETAN COSTIS                                                                                                                                                                                                                                                   ,GBR       ,GBR  ,8806888     ,7629                                ,10.95                                   ,NULL                                    ,173.94                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
ISOLA VERDE                                                                                                                                                                                                                                                      ,ITA       ,ITA  ,9033969     ,7376                                ,10.92                                   ,NULL                                    ,169.77                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
CAPE BACTON                                                                                                                                                                                                                                                      ,MHL       ,MHL  ,9264283     ,9359                                ,10.05                                   ,NULL                                    ,169.63                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
MINERVA ALICE                                                                                                                                                                                                                                                    ,GRC       ,GRC  ,9198290     ,8307                                ,12.21                                   ,NULL                                    ,175.69                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
HARBOUR KIRA                                                                                                                                                                                                                                                     ,BHS       ,BHS  ,9337286     ,10231                               ,8.40                                    ,NULL                                    ,109.36                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
MARIOS G                                                                                                                                                                                                                                                         ,PAN       ,PAN  ,9418121     ,11051                               ,0.00                                    ,NULL                                    ,175.54                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
RADIANT SEA                                                                                                                                                                                                                                                      ,MHL       ,MHL  ,9316244     ,11038                               ,0.00                                    ,NULL                                    ,221.62                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
MINERVA OCEANIA                                                                                                                                                                                                                                                  ,MLT       ,MLT  ,9380075     ,11621                               ,0.00                                    ,NULL                                    ,172.60                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
MINERVA VASO                                                                                                                                                                                                                                                     ,GRC       ,GRC  ,9318008     ,9251                                ,13.27                                   ,NULL                                    ,175.38                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
NORD STABILITY                                                                                                                                                                                                                                                   ,SGP       ,SGP  ,9629495     ,11452                               ,0.00                                    ,NULL                                    ,175.36                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
CHEMTRANS EMS                                                                                                                                                                                                                                                    ,LBR       ,LBR  ,9439321     ,9585                                ,8.70                                    ,NULL                                    ,120.86                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
ASPHALT TRADER                                                                                                                                                                                                                                                   ,PAN       ,PAN  ,7922623     ,10078                               ,9.19                                    ,NULL                                    ,134.50                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
VANNI D                                                                                                                                                                                                                                                          ,ITA       ,ITA  ,9231516     ,7731                                ,9.26                                    ,NULL                                    ,126.50                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
CRYSTAL TOPAZ                                                                                                                                                                                                                                                    ,LUX       ,LUX  ,9327047     ,8171                                ,8.37                                    ,NULL                                    ,119.52                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
SONGA PEACE                                                                                                                                                                                                                                                      ,MHL       ,MHL  ,9409522     ,11032                               ,0.00                                    ,NULL                                    ,137.92                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
FAIRCHEM CHARGER                                                                                                                                                                                                                                                 ,MHL       ,MHL  ,9367401     ,9187                                ,10.11                                   ,NULL                                    ,137.92                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
VERONICA PG                                                                                                                                                                                                                                                      ,IMN       ,IMN  ,9285328     ,8342                                ,6.80                                    ,NULL                                    ,121.74                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
CHAMPION TRADER                                                                                                                                                                                                                                                  ,NOR       ,NOR  ,7504055     ,7970                                ,10.92                                   ,NULL                                    ,162.35                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
HISTRIA PRINCE                                                                                                                                                                                                                                                   ,MHL       ,MHL  ,9436666     ,9679                                ,11.00                                   ,NULL                                    ,173.65                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
HANDYTANKERS MIRACLE                                                                                                                                                                                                                                             ,MHL       ,MHL  ,9387059     ,9361                                ,11.60                                   ,NULL                                    ,176.27                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
CARIAD                                                                                                                                                                                                                                                           ,BRB       ,BRB  ,9113147     ,9262                                ,12.25                                   ,NULL                                    ,174.64                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
MARITIME SUZANNE                                                                                                                                                                                                                                                 ,HKG       ,HKG  ,9221023     ,9033                                ,12.15                                   ,NULL                                    ,173.40                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
SEA CROWN                                                                                                                                                                                                                                                        ,GRC       ,GRC  ,9248801     ,9201                                ,11.22                                   ,NULL                                    ,169.63                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
HOLMEN                                                                                                                                                                                                                                                           ,SGP       ,SGP  ,9330771     ,8379                                ,9.64                                    ,NULL                                    ,136.46                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
ARDMORE SEAFARER                                                                                                                                                                                                                                                 ,MHL       ,MHL  ,9320261     ,11967                               ,0.00                                    ,NULL                                    ,172.25                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
SICHEM RUBY                                                                                                                                                                                                                                                      ,PAN       ,PAN  ,9344174     ,9394                                ,7.77                                    ,NULL                                    ,108.53                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
MELIDE                                                                                                                                                                                                                                                           ,LBR       ,LBR  ,9192765     ,7062                                ,11.02                                   ,NULL                                    ,176.17                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
ASTERION                                                                                                                                                                                                                                                         ,FRA       ,FRA  ,9595125     ,10816                               ,0.00                                    ,NULL                                    ,177.46                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
SICHEM OSPREY                                                                                                                                                                                                                                                    ,MLT       ,MLT  ,9396024     ,10299                               ,10.00                                   ,NULL                                    ,161.94                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
SICHEM PRINCESS MARIE-CHANTAL*                                                                                                                                                                                                                                   ,MLT       ,MLT  ,9268291     ,7169                                ,7.41                                    ,NULL                                    ,105.40                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
UBC SYDNEY                                                                                                                                                                                                                                                       ,CYP       ,CYP  ,9236078     ,7323                                ,10.42                                   ,NULL                                    ,164.33                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
HORIZON THEONI                                                                                                                                                                                                                                                   ,LBR       ,LBR  ,9407407     ,10495                               ,13.08                                   ,NULL                                    ,175.54                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
PRIAMOS                                                                                                                                                                                                                                                          ,CYP       ,CYP  ,8106446     ,7802                                ,0.00                                    ,NULL                                    ,218.90                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
CT CORK                                                                                                                                                                                                                                                          ,MLT       ,MLT  ,9393060     ,9009                                ,7.56                                    ,NULL                                    ,110.86                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
SICHEM CONTESTER                                                                                                                                                                                                                                                 ,SGP       ,SGP  ,9416020     ,10004                               ,9.62                                    ,NULL                                    ,138.61                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
JOSE STREAM                                                                                                                                                                                                                                                      ,PAN       ,PAN  ,8517803     ,9522                                ,10.02                                   ,NULL                                    ,146.05                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
ANHOUT SWAN                                                                                                                                                                                                                                                      ,DNK       ,DNK  ,9401300     ,11518                               ,0.00                                    ,NULL                                    ,111.85                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
ARIS                                                                                                                                                                                                                                                             ,BHS       ,BHS  ,9289520     ,8758                                ,13.01                                   ,NULL                                    ,178.25                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
MOYRA                                                                                                                                                                                                                                                            ,GIB       ,GIB  ,9271999     ,9595                                ,9.55                                    ,NULL                                    ,155.39                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
VALCADORE                                                                                                                                                                                                                                                        ,ITA       ,ITA  ,9384112     ,9584                                ,11.32                                   ,NULL                                    ,177.46                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
OVERSEAS RIMAR                                                                                                                                                                                                                                                   ,MHL       ,MHL  ,9129952     ,10324                               ,12.18                                   ,NULL                                    ,175.78                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
LIQUID CRYSTAL                                                                                                                                                                                                                                                   ,PAN       ,PAN  ,8905177     ,8716                                ,7.37                                    ,NULL                                    ,99.02                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
TAUROGAS I                                                                                                                                                                                                                                                       ,PAN       ,PAN  ,7408861     ,7628                                ,7.54                                    ,NULL                                    ,99.84                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
JILL JACOB                                                                                                                                                                                                                                                       ,LBR       ,LBR  ,9257498     ,11934                               ,0.00                                    ,NULL                                    ,220.68                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
BOW SANTOS                                                                                                                                                                                                                                                       ,NOR       ,NOR  ,9303651     ,7788                                ,9.43                                    ,NULL                                    ,141.21                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
BOMAR SEDNA                                                                                                                                                                                                                                                      ,MLT       ,MLT  ,9383651     ,11679                               ,0.00                                    ,NULL                                    ,96.01                                   ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
POSILLIPO                                                                                                                                                                                                                                                        ,ITA       ,ITA  ,9410911     ,11345                               ,0.00                                    ,NULL                                    ,175.19                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
BRITISH TRANQUILITY                                                                                                                                                                                                                                              ,IMN       ,IMN  ,9288849     ,11559                               ,0.00                                    ,NULL                                    ,175.60                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
HIGHTIDE                                                                                                                                                                                                                                                         ,LBR       ,LBR  ,8717233     ,8191                                ,12.50                                   ,NULL                                    ,170.14                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
AGENA I                                                                                                                                                                                                                                                          ,MHL       ,MHL  ,9587831     ,10526                               ,0.00                                    ,NULL                                    ,177.46                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
TROMA                                                                                                                                                                                                                                                            ,MLT       ,MLT  ,9334301     ,9836                                ,5.74                                    ,NULL                                    ,100.85                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
MEGANISI                                                                                                                                                                                                                                                         ,GRC       ,GRC  ,9286023     ,11398                               ,0.00                                    ,NULL                                    ,220.88                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
JAG PRADIP                                                                                                                                                                                                                                                       ,IND       ,IND  ,9086356     ,7719                                ,12.22                                   ,NULL                                    ,175.73                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
NORDANVIND                                                                                                                                                                                                                                                       ,VEN       ,VEN  ,9037123     ,8205                                ,11.98                                   ,NULL                                    ,181.53                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
DOUBTLESS                                                                                                                                                                                                                                                        ,LBR       ,LBR  ,8913588     ,7827                                ,12.21                                   ,NULL                                    ,175.78                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
KIMOLOS                                                                                                                                                                                                                                                          ,GRC       ,GRC  ,9405540     ,10935                               ,0.00                                    ,NULL                                    ,175.66                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
UNITED MOONLIGHT I                                                                                                                                                                                                                                               ,LBR       ,LBR  ,8012102     ,7241                                ,12.60                                   ,NULL                                    ,198.69                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
CAPE BIRD                                                                                                                                                                                                                                                        ,MHL       ,MHL  ,9260067     ,7083                                ,10.07                                   ,NULL                                    ,169.63                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
CHESTNUT                                                                                                                                                                                                                                                         ,CYP       ,CYP  ,9477866     ,10910                               ,0.00                                    ,NULL                                    ,178.55                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
OVERSEAS SIFNOS                                                                                                                                                                                                                                                  ,MHL       ,MHL  ,9384033     ,11388                               ,0.00                                    ,NULL                                    ,175.38                                  ,NULL                                    ,0.00                                    ,0.00                                    ,Tanker                                                                                                                           ,Vessel solely equipped with tanks to carry cargo.
